Item Name,Item Category,,,
"CAT Cables
",Laptop,,,Solar Panels Disposal
"Water purifier
Electric Kettle
First Aid Box
Tissue paper dispenser
Extension boards
",Others,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jan '22
E-waste Collection Charges,Batteries,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Jan '22
Solar Panels Disposal,Batteries,,,Laptops
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jan '22,Batteries,,,E-Waste awareness Program
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Jan '22,Batteries,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Feb '22
Laptops,Services,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Feb '22
E-Waste awareness Program,Batteries,,,"20 KVA UPS, 26 AH Batteries"
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Feb '22,Batteries,,,"15 KVA UPS, 26 AH Batteries"
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for the month of Feb '22,Batteries,,,Scrap Office Goods
"20 KVA UPS, 26 AH Batteries",Batteries,,,Composting accessories
"15 KVA UPS, 26 AH Batteries",Batteries,,,Gloves
Scrap Office Goods,Batteries,,,Transportation.
Composting accessories,Batteries,,,Iron
Gloves,Batteries,,,Mild Steel - Raw Material
Transportation.,Batteries,,,MIX PLASTIC
Iron,Others,,,CEEW1 - Cables
Mild Steel - Raw Material,Services,,,Copper Scrap
MIX PLASTIC,Others,,,Mixed Plastic
CEEW1 - Cables,LED/LCD/TV,,,Scrap Copper Cables
Copper Scrap,Others,,,Iron Sheets
Mixed Plastic,Others,,,Low Value Plastic
Scrap Copper Cables,Others,,,Server Racks and Cable Accessories
Iron Sheets,Others,,,Battery Waste Recycling
Low Value Plastic,Others,,,Chair
Server Racks and Cable Accessories,Others,,,Table
Battery Waste Recycling,Batteries,,,EPR Battery Portal Charges to CPCB online
Chair,Others,,,Servers-HPE ProLiant DL380 Gen10
Table,Others,,,Switches - Arista 7060CX-32S
EPR Battery Portal Charges to CPCB online,Batteries,,,E-waste Collection & Recycling Charges ITEW 7
Servers-HPE ProLiant DL380 Gen10,Laptop,,,"
Processing and Handling Fee"
Switches - Arista 7060CX-32S,Batteries,,,Recycled Paper
E-waste Collection & Recycling Charges ITEW 7,Copying Machines,,,Recycled Paper Pencils
E-Waste,Mixed E-waste,,,Recycled TP - Pen Stand (Single Cavity)
"
Processing and Handling Fee",Others,,,Recycled Paper - Pen
Recycled Paper,Others,,,A1 sheets
Recycled Paper Pencils,Others,,,Hardbound Diaries
Recycled TP - Pen Stand (Single Cavity),Others,,,"Part 3 of 4
DC- 2966, 2967, 2968, 3742
Date - 26,27,30,31 July 2019"
Recycled Paper - Pen,Others,,,Overcoat of SZW
A1 sheets,Others,,,Waste Management Service
Hardbound Diaries,Others,,,Transportation Charges
"Part 3 of 4
DC- 2966, 2967, 2968, 3742
Date - 26,27,30,31 July 2019",Others,,,E-waste Collection and Recycling Charges (ITEW 2)
Overcoat of SZW,Others,,,
Waste Management Service,Services,,,
Transportation Charges,Others,,,
E-waste Collection and Recycling Charges (ITEW 2),ITEW2,,,
