Item Name,Item Category,,,
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Jan '23,Washing Machine,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Jan '23
E-Waste Collection & Recycling charges Air-conditioner (CEEW4) for month of Jan '23,Air Conditioner,,,E-Waste Collection & Recycling charges Air-conditioner (CEEW4) for month of Jan '23
E Waste Collection and Channelization Services,Services,,,E Waste Collection and Channelization Services
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for the month of Feb '23,Refrigerator,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for the month of Feb '23
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Feb '23,Washing Machine,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Feb '23
E-Waste Collection & Recycling charges of AC (CEEW4) for month of Feb '23,Air Conditioner,,,E-Waste Collection & Recycling charges of AC (CEEW4) for month of Feb '23
E-waste Audit,Others,,,E-waste Audit
Mixed dry waste,Mixed E-waste,,,Mixed dry waste
Battery Waste,Batteries,,,Battery Waste
E waste bin,Mixed E-waste,,,E waste bin
Refurbished Notepad,Others,,,Refurbished Notepad
Refurbished Ipad,Others,,,Refurbished Ipad
CEEW1 - TV stand,LED/LCD/TV,,,CEEW1 - TV stand
E Waste & Non IT Assets,Others,,,E Waste & Non IT Assets
EPR Consultancy Fee,Services,,,EPR Consultancy Fee
Scrap AC & Accessories ï¼ˆCEEW 4ï¼‰,Air Conditioner,,,Scrap AC & Accessories ï¼ˆCEEW 4ï¼‰
Mix cables,Others,,,Mix cables
E Waste Recycling,Others,,,E Waste Recycling
CEEW 13 - Projector,CEEW13,,,CEEW 13 - Projector
E-waste Collection Centres,Others,,,E-waste Collection Centres
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Apr'22,Washing Machine,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Apr'22
E-Waste Collection & Recycling charges Air-conditioner (CEEW4) for month of Apr'22,Air Conditioner,,,E-Waste Collection & Recycling charges Air-conditioner (CEEW4) for month of Apr'22
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Apr '22,Refrigerator,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Apr '22
e waste,Mixed E-waste,,,E-waste Collection
E-waste Collection,Others,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of May '22
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of May '22,Refrigerator,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of May '22
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of May '22,Washing Machine,,,E-Waste Collection & Recycling charges Air-conditioner (CEEW4) for month of May '22
E-Waste Collection & Recycling charges Air-conditioner (CEEW4) for month of May '22,Air Conditioner,,,E-waste Collection & Recycling Charges (ITEW 6 & ITEW 7)
E-waste Collection & Recycling Charges (ITEW 6 & ITEW 7),ITEW 6 & ITEW 7,,,E-Waste Scrap
E-Waste Scrap,Others,,,ITEW 15 - Mobiles
ITEW 15 - Mobiles,Mobiles,,,Cardboard/carton
Cardboard/carton,Others,,,"E Waste Collection and Disposal Services
CFL Bulbs and Tubelights (7201.0 kgs)
Tonners and Cartridges , 77.10Kgs ( Zero Value)"
"E Waste Collection and Disposal Services
CFL Bulbs and Tubelights (7201.0 kgs)
Tonners and Cartridges , 77.10Kgs ( Zero Value)",Services,,,CEEW 1 - E-waste Scrap TV
CEEW 1 - E-waste Scrap TV,LED/LCD/TV,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jun '22
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jun '22,Refrigerator,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of June '22
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of June '22,Washing Machine,,,E-waste Collection and Recycling Charges for CEEW 1
E-waste Collection and Recycling Charges for CEEW 1,LED/LCD/TV,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jul '22
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jul '22,Refrigerator,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Jul '22
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Jul '22,Washing Machine,,,E-Waste Collection & Recycling charges of AC (CEEW4) for month of Jul '22
E-Waste Collection & Recycling charges of AC (CEEW4) for month of Jul '22,Air Conditioner,,,Scrap Lithiuim Ion Batteries
Scrap Lithiuim Ion Batteries,Batteries,,,Scrap Lithium Ion Batteries
Scrap Lithium Ion Batteries,Batteries,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Mar'21
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Mar'21,Services,,,Incentive E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Mar'21
Incentive E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Mar'21,Services,,,Carton Box
Carton Box,Others,,,Training & Awareness Session on Waste Management
Training & Awareness Session on Waste Management,Awareness,,,Carton Rolls
Carton Rolls,Others,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of May'21 & Jun'21
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of May'21 & Jun'21,Refrigerator,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of May'21 & Jun'21
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of May'21 & Jun'21,Washing Machine,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of May'21
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of May'21,Refrigerator,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of June'21
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of June'21,Refrigerator,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of June'21
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of June'21,Washing Machine,,,"200AH Batteries
"
"200AH Batteries
",Batteries,,,"120AH Batteries
"
"120AH Batteries
",Batteries,,,160AH Batteries
160AH Batteries,Batteries,,,100AH Batteries
100AH Batteries,Batteries,,,120AH Batteries
120AH Batteries,Batteries,,,65AH Batteries
65AH Batteries,Batteries,,,18AH Batteries
18AH Batteries,Batteries,,,7AH Batteries
7AH Batteries,Batteries,,,26AH Batteries
26AH Batteries,Batteries,,,Exide 26AH Batteries
Exide 26AH Batteries,Batteries,,,Used Oil
Used Oil,Others,,,Lube Oil
Lube Oil,Others,,,Fuel Filters
Fuel Filters,Others,,,Charges payable by Sri Sai Company
Charges payable by Sri Sai Company,Others,,,"
Batteries 65AH
"
"
Batteries 65AH
",Batteries,,," Batteries 42AH
"
" Batteries 42AH
",Batteries,,,"Batteries 70AH
"
"Batteries 70AH
",Batteries,,,"Batteries 120AH
"
"Batteries 120AH
",Batteries,,,"Batteries 100 AH
"
"Batteries 100 AH
",Batteries,,, Batteries 42AH
 Batteries 42AH,Batteries,,,"Batteries 75Ah
"
"Batteries 75Ah
",Batteries,,,"Batteries 150Ah
"
"Batteries 150Ah
",Batteries,,,Batteries Inverter 3kva
"Batteries 120Ah
",Batteries,,,Batteries Inverter 5kva
Batteries Inverter 3kva,Batteries,,,Batteries Inverter 7.5kva
Batteries Inverter 5kva,Batteries,,,Batteries APC 850Kva
Batteries Inverter 7.5kva,Batteries,,,Batteries Inverter 2kva
Batteries APC 850Kva,Batteries,,,Services charges 
Batteries Inverter 2kva,Batteries,,,65 AH Rocket Batteries
Services charges ,Services,,,120 AH Rocket Batteries
65 AH Rocket Batteries,Batteries,,,100 AH Rocket Batteries
120 AH Rocket Batteries,Batteries,,,65 AH Quanta Batteries
100 AH Rocket Batteries,Batteries,,,42 AH Rocket Batteries
65 AH Quanta Batteries,Batteries,,,18 AH Rocket Batteries
42 AH Rocket Batteries,Batteries,,,12 AH Batteries
18 AH Rocket Batteries,Batteries,,,7.2 AH Batteries
12 AH Batteries,Batteries,,,4.5 AH Batteries
7.2 AH Batteries,Batteries,,,Charges payable by Greens Recology
4.5 AH Batteries,Batteries,,,Scrap Laptops 
Charges payable by Greens Recology,Others,,,Scrap Samsung Mobiles
Scrap Laptops ,Laptop,,,E Waste Disposal Coordination Charges
Scrap Samsung Mobiles,Mobiles,,,E-Waste Collection & Recycling charges of TV (CEEW1)
E Waste Disposal Coordination Charges,Services,,,Discount
E-Waste Collection & Recycling charges of TV (CEEW1),LED/LCD/TV,,,IBM x3650 M4 (7915-AC1)
Discount,Others,,,IBM  x3650 M4 (7915-C2A)
IBM x3650 M4 (7915-AC1),Laptop,,,"IBM  x3650 M4 (7915-C2A)
"
IBM  x3650 M4 (7915-C2A),Laptop,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jul'21 & Aug'21
"IBM  x3650 M4 (7915-C2A)
",Laptop,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Jul '21 & Aug '21
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Jul'21 & Aug'21,Refrigerator,,,Mixed E Waste
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Jul '21 & Aug '21,Washing Machine,,,Waste Management Services
Mixed E Waste,Mixed E-waste,,,Transportation
Waste Management Services,Services,,,ITEW 2 - Personal Computers (Central Processing Unit with Input and Output devices)
Transportation,Others,,,Process and Handling Fee
ITEW 2 - Personal Computers (Central Processing Unit with Input and Output devices),ITEW2,,,"IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM  x3650 M4 (7915-C2A)
IBM  x3650 M3 - 7945-I6A
IBM  x3650 M3 - 7945-I6A"
Process and Handling Fee,Services,,,"IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM  x3650 M4 (7915-C2A)
IBM  x3650 M3 - 7945-I6A
IBM  x3650 M3 - 7945-I6A
"
"IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM  x3650 M4 (7915-C2A)
IBM  x3650 M3 - 7945-I6A
IBM  x3650 M3 - 7945-I6A",Laptop,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for the month of Mar '23
"IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM x3650 M4 (7915-AC1)
IBM  x3650 M4 (7915-C2A)
IBM  x3650 M3 - 7945-I6A
IBM  x3650 M3 - 7945-I6A
",Laptop,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Mar '23
